"","Station_S1","S1","Date_S1","Orbit","angle","LIA_Deg","NDMI_L8","NDVI","NDVI_L8","RVI","ST_B10","VH","VH_multilook","VH_VV","VV","VV_multilook","VV_VH","Date_GTD","landuse","sd_obs_02","obs_02","sd_obs_05","obs_05","elevation","latitude","longitude","slope"
"27","B1","S1A_IW_GRDH_1SDV_20200507T171522_20200507T171547_032462_03C261_C6B4_15",2020-05-07 17:15:22,"15",44.0149040222168,35.6156620547874,0.321018129587173,7426,0.504003882408142,2.52238682762109,43506,-19.6100284844364,-15.3370396755507,1.7070684498299,-12.0951367462226,-8.98443157160976,0.5857995911644,2020-05-07 19:22:30,"me",0.000473838715025635,0.160035825,0.000300120055739604,0.155349175,985,46.6612357187845,10.5901939687208,12.4180821079834
"28","B1","S1A_IW_GRDH_1SDV_20210326T052716_20210326T052741_037165_04604D_A568_168",2021-03-26 05:27:16,"168",38.7151756286621,50.4466189182718,-0.0211808923631907,4369,0.218744456768036,2.34313203488537,43333,-22.7585187470408,-20.7670228909923,1.41419357741234,-13.5421953619407,-14.6847102282782,0.707116773808137,2021-03-26 06:22:30,"me",7.96024721439183e-06,0.1292933375,9.45323971299983e-05,0.1265291625,985,46.6612357187845,10.5901939687208,12.4180821079834
"32","B1","S1B_IW_GRDH_1SDV_20210831T170644_20210831T170709_028493_03666B_5CAF_117",2021-08-31 17:06:44,"117",34.657398223877,26.9268461624049,0.261552035808563,6832,0.461302489042282,2.72995282315636,43018,-14.4002327514402,-14.1744431225057,2.14948930475238,-6.70929621690356,-6.59433061200485,0.465226785631855,2021-08-31 19:07:30,"me",0.000300290971987402,0.148669975,0.000221435362626273,0.1467633375,985,46.6612357187845,10.5901939687208,12.4180821079834
"33","B1","S1A_IW_GRDH_1SDV_20220731T052729_20220731T052754_044340_054AAA_146D_168",2022-07-31 05:27:29,"168",38.7113647460938,50.4431187033435,0.249272838234901,7278,0.437368214130402,2.31378336481478,43316,-17.9795552238702,-18.5225134563233,1.37217443864242,-16.4397349075465,-13.4986579947144,0.728770316541798,2022-07-31 07:22:30,"me",0.000382634726973013,0.26951165,0.000359110587821791,0.2676458,985,46.6612357187845,10.5901939687208,12.4180821079834
"35","B1","S1B_IW_GRDH_1SDV_20200804T052612_20200804T052637_022769_02B36C_5A3C_168",2020-08-04 05:26:12,"168",38.846019744873,50.8171577902521,0.30113297700882,7372,0.505389928817749,2.32840801649566,43373,-16.3643764707286,-17.5221084964502,1.39292844155329,-11.394569749726,-12.5793314098109,0.71791196889115,2020-08-04 07:22:30,"me",0.00102571305476448,0.283618325,0.0012845216519334,0.2752,985,46.6612357187845,10.5901939687208,12.4180821079834
"36","B1","S1B_IW_GRDH_1SDV_20210328T170636_20210328T170701_026218_032104_08E1_117",2021-03-28 17:06:36,"117",34.9346046447754,27.1030774047003,-0.0211808923631907,4369,0.218744456768036,2.71102389193759,43333,-14.6171484338319,-15.1191942226584,2.10323827957741,-11.360818668609,-7.18853130882356,0.475457303012249,2021-03-28 19:07:30,"me",0.000387025306481557,0.113444175,2.84488011296494e-05,0.112255,985,46.6612357187845,10.5901939687208,12.4180821079834
"38","B1","S1B_IW_GRDH_1SDV_20200512T052611_20200512T052636_021544_028E77_868F_168",2020-05-12 05:26:11,"168",39.1300354003906,51.0665678781418,0.321018129587173,7426,0.504003882408142,2.37632537271469,43506,-20.0575328882814,-20.8468650453414,1.46354776553217,-15.8540430055029,-14.2440619543163,0.683271174027165,2020-05-12 07:22:30,"me",1.17955727166699e-05,0.1116025125,0.000307970276569023,0.1115941625,985,46.6612357187845,10.5901939687208,12.4180821079834
"40","B1","S1A_IW_GRDH_1SDV_20200514T170702_20200514T170727_032564_03C58C_46BD_117",2020-05-14 17:07:02,"117",35.4414024353027,27.0322411556961,0.321018129587173,7426,0.504003882408142,2.62663631376379,43506,-16.324436356906,-13.7625992233108,1.91255698697135,-10.8270359679938,-7.19591589535052,0.522860237269876,2020-05-14 19:07:30,"me",0.000328047918701351,0.2183441625,0.000498748115642696,0.2101425,985,46.6612357187845,10.5901939687208,12.4180821079834
"41","B1","S1A_IW_GRDH_1SDV_20220801T171539_20220801T171604_044362_054B51_5F8F_15",2022-08-01 17:15:39,"15",44.0104675292969,35.6150038088235,0.249272838234901,7278,0.437368214130402,2.58196422452586,43316,-18.1286824419234,-15.2976436892032,1.82080330354327,-11.2024089357774,-8.40159047352017,0.54920814239188,2022-08-01 19:22:30,"me",0.000316620348366936,0.209629975,0.000375570635357528,0.207791675,985,46.6612357187845,10.5901939687208,12.4180821079834
"46","B1","S1A_IW_GRDH_1SDV_20210930T170715_20210930T170740_039914_04B91E_1F83_117",2021-09-30 17:07:15,"117",35.4385833740234,27.0387628516089,0.256709218025208,7655,0.447488278150558,2.76040104750137,43063,-15.8297446713434,-15.3563597558829,2.22685009691021,-9.37125512757605,-6.89600066802436,0.449064802964292,2021-09-30 19:07:30,"me",0.00080422565552213,0.248510825,0.000729017914609395,0.2407558375,985,46.6612357187845,10.5901939687208,12.4180821079834
"48","B1","S1B_IW_GRDH_1SDV_20210904T052620_20210904T052645_028544_036806_070F_168",2021-09-04 05:26:20,"168",38.8536376953125,50.8219268498702,0.256709218025208,6832,0.447488278150558,2.43094306083951,43063,-19.0704084927423,-18.4704802291347,1.54930200438753,-11.2826626213135,-11.9218074828713,0.645451950083368,2021-09-04 07:22:30,"me",0.0593884752531147,0.2689933125,0.0315411206512569,0.30699,985,46.6612357187845,10.5901939687208,12.4180821079834
"51","B1","S1B_IW_GRDH_1SDV_20200805T171433_20200805T171458_022791_02B417_ACA5_15",2020-08-05 17:14:33,"15",44.7109832763672,35.8109210494159,0.30113297700882,7372,0.505389928817749,2.59580493974885,43373,-15.7140262125272,-14.4640951720619,1.84860708688476,-9.36934172514442,-7.82432095748182,0.540947834234034,2020-08-05 19:07:30,"me",0.000281864653436964,0.23015,0.000361951961838273,0.2221616625,985,46.6612357187845,10.5901939687208,12.4180821079834
"54","B1","S1A_IW_GRDH_1SDV_20221019T170721_20221019T170746_045514_057116_E59E_117",2022-10-19 17:07:21,"117",35.4300117492676,27.0309388728756,0.260925382375717,6611,0.450110733509064,2.6331977901253,40970,-14.3625707006435,-14.557022857018,1.9265390201313,-13.7675406677863,-7.55604880301147,0.519065531271642,2022-10-19 19:07:30,"me",0.000292924770632323,0.1610100125,1.06417556956489e-05,0.1683575125,985,46.6612357187845,10.5901939687208,12.4180821079834
"56","B1","S1B_IW_GRDH_1SDV_20210402T171432_20210402T171457_026291_032349_C530_15",2021-04-02 17:14:32,"15",44.7110939025879,35.8122627271379,-0.0211808923631907,4369,0.218744456768036,2.50598249236149,43333,-19.7460280832428,-16.0940560025187,1.67734479652954,-9.47113832856149,-9.59495986503048,0.596180345310648,2021-04-02 19:07:30,"me",0.000292791824327212,0.0819091625,1.45824972753567e-05,0.08430499375,985,46.6612357187845,10.5901939687208,12.4180821079834
"57","B1","S1A_IW_GRDH_1SDV_20220808T170719_20220808T170744_044464_054E50_D8BE_117",2022-08-08 17:07:19,"117",35.4394607543945,27.0393234211222,0.254661083221436,7278,0.411362379789352,2.6101119248376,41291,-15.8356973696181,-14.2235268554409,1.8779295768349,-11.4882891982461,-7.5740469881802,0.532501331431939,2022-08-08 19:07:30,"me",0.000624555715803527,0.215223325,0.000633639751047188,0.2253966625,985,46.6612357187845,10.5901939687208,12.4180821079834
"58","B1","S1A_IW_GRDH_1SDV_20210614T170710_20210614T170735_038339_048648_E0D9_117",2021-06-14 17:07:10,"117",35.4351692199707,27.035457018648,0.343964666128159,7085,0.480430841445923,2.66008464664663,43424,-16.7546608975339,-12.8798771599208,1.98526320337275,-9.3715574976562,-6.48774285346108,0.503711547315795,2021-06-14 19:07:30,"me",0.000459951542284616,0.1205274875,0.000400955091001471,0.133218325,985,46.6612357187845,10.5901939687208,12.4180821079834
"60","B1","S1A_IW_GRDH_1SDV_20200518T052712_20200518T052737_032615_03C710_68FC_168",2020-05-18 05:27:12,"168",38.716667175293,50.4482259984662,0.321018129587173,7426,0.504003882408142,2.4004907584511,43506,-17.1072607243605,-17.8708913566885,1.50076704535108,-10.6307485727366,-11.9078383364341,0.666325931861106,2020-05-18 07:22:30,"me",0.00035015497767826,0.2540866375,0.000920956301119347,0.24505165,985,46.6612357187845,10.5901939687208,12.4180821079834
"62","B1","S1A_IW_GRDH_1SDV_20211105T170715_20211105T170740_040439_04CB65_E690_117",2021-11-05 17:07:15,"117",35.4269485473633,27.0290455474048,0.140772461891174,7238,0.383165597915649,2.82351902492412,39639,-18.6771188925479,-15.2747781585921,2.39996998229573,-9.08379299215376,-6.3645705034947,0.416671878138839,2021-11-05 18:07:30,"me",0.000301860264502844,0.291773325,0.00030907876481108,0.2703775,985,46.6612357187845,10.5901939687208,12.4180821079834
"64","B1","S1B_IW_GRDH_1SDV_20210905T171440_20210905T171505_028566_0368AE_A510_15",2021-09-05 17:14:40,"15",44.7114448547363,35.8112486830088,0.256709218025208,6832,0.447488278150558,2.55727025327706,43063,-16.719924169642,-14.7021160414937,1.77252202575411,-7.06468125312816,-8.29446169236672,0.564167883654116,2021-09-05 19:07:30,"me",0.000220367083359953,0.23610335,0.00033563039514153,0.219705825,985,46.6612357187845,10.5901939687208,12.4180821079834
"66","B1","S1B_IW_GRDH_1SDV_20210515T170638_20210515T170703_026918_03373E_15BB_117",2021-05-15 17:06:38,"117",34.8983840942383,27.0619245538941,0.299616515636444,6542,0.475132405757904,2.79145904024268,41672,-15.7106607373073,-14.496945811019,2.30977611284537,-9.73287527540172,-6.27634242574291,0.432942394043602,2021-05-15 19:07:30,"me",0.000466469346527719,0.2341133375,0.000460726686876284,0.20628,985,46.6612357187845,10.5901939687208,12.4180821079834
"67","B1","S1B_IW_GRDH_1SDV_20200812T170624_20200812T170649_022893_02B744_F2C9_117",2020-08-12 17:06:24,"117",35.5782279968262,27.1101538837222,0.30113297700882,7372,0.505389928817749,2.69073185294399,43373,-18.824856558971,-14.113803749491,2.05514191954819,-11.0597293419493,-6.86755674401008,0.486584401051897,2020-08-12 19:07:30,"me",0.00714605088361746,0.2402691625,0.0331037641812804,0.2478949875,985,46.6612357187845,10.5901939687208,12.4180821079834
"68","B1","S1A_IW_GRDH_1SDV_20200519T171523_20200519T171548_032637_03C7B2_9C4B_15",2020-05-19 17:15:23,"15",44.015266418457,35.615784646069,0.321018129587173,7426,0.504003882408142,2.49242610855013,43506,-14.1645544155441,-14.8685540143816,1.65326961596099,-10.423382733945,-8.99342361998165,0.604862020293486,2020-05-19 19:22:30,"me",0.000235029888296914,0.2098866625,0.000294023808559773,0.2006575,985,46.6612357187845,10.5901939687208,12.4180821079834
"70","B1","S1A_IW_GRDH_1SDV_20220427T171533_20220427T171558_042962_052109_B6C9_15",2022-04-27 17:15:33,"15",44.008659362793,35.6130080188617,0.221977889537811,5858,0.414251774549484,2.61049657629634,42710,-19.1255553598435,-15.7124093103489,1.8787262641917,-10.683012948525,-8.3633308427234,0.532275520420342,2022-04-27 19:22:30,"me",0.00064235947865773,0.2261916625,0.000533253863424491,0.20981665,985,46.6612357187845,10.5901939687208,12.4180821079834
"72","B1","S1B_IW_GRDH_1SDV_20200816T052613_20200816T052638_022944_02B8D4_BCB2_168",2020-08-16 05:26:13,"168",38.8518028259277,50.8234557404014,0.30113297700882,7372,0.505389928817749,2.39529301680255,43373,-19.8176142349252,-18.8926270461601,1.49266691170611,-11.8601908110953,-12.6569611063234,0.66994182838622,2020-08-16 07:22:30,"me",9.9003517253493e-06,0.2164116625,0.000340881210981189,0.205455,985,46.6612357187845,10.5901939687208,12.4180821079834
"75","B1","S1A_IW_GRDH_1SDV_20211109T052725_20211109T052750_040490_04CD29_8480_168",2021-11-09 05:27:25,"168",38.7163505554199,50.448952621246,0.140772461891174,7238,0.383165597915649,2.38794633649643,39639,-22.8687928658454,-21.2592916735792,1.48130697541829,-15.4369993367247,-14.3517123907258,0.675079518691677,2021-11-09 06:22:30,"me",0.000314453621097664,0.2611133375,0.000288620915178664,0.2430599875,985,46.6612357187845,10.5901939687208,12.4180821079834
"78","B1","S1B_IW_GRDH_1SDV_20200817T171436_20200817T171501_022966_02B980_FDAA_15",2020-08-17 17:14:36,"15",44.5123825073242,35.6587944779755,0.30113297700882,7372,0.505389928817749,2.63504356775461,43373,-14.2378023006451,-13.69432475241,1.930496465312,-9.68296558783751,-7.09368030373305,0.518001466445773,2020-08-17 19:07:30,"me",0.000453090534748389,0.2665549875,0.000578533806889697,0.2597975,985,46.6612357187845,10.5901939687208,12.4180821079834
"80","B1","S1B_IW_GRDH_1SDV_20210912T170645_20210912T170710_028668_036BD9_1613_117",2021-09-12 17:06:45,"117",34.9008522033691,27.0645160334181,0.256709218025208,6832,0.447488278150558,2.76532965063532,43063,-16.6468340575949,-13.9090644786846,2.23973115743668,-10.1846129963969,-6.21014912102359,0.446482157771327,2021-09-12 19:07:30,"me",0.00033241015112573,0.25514745,0.000272452909430501,0.238909175,985,46.6612357187845,10.5901939687208,12.4180821079834
"81","B1","S1A_IW_GRDH_1SDV_20220812T052729_20220812T052754_044515_054FF1_4315_168",2022-08-12 05:27:29,"168",38.7106742858887,50.4424034769651,0.254661083221436,7278,0.411362379789352,2.38855327130192,41291,-16.7482125010856,-18.974920934015,1.48224153412237,-9.34368949463834,-12.8015040040354,0.67465387858808,2022-08-12 07:22:30,"me",0.000217263465800006,0.235269175,0.000290806160280591,0.2394825,985,46.6612357187845,10.5901939687208,12.4180821079834
"82","B1","S1A_IW_GRDH_1SDV_20211110T171536_20211110T171601_040512_04CDE4_FA4A_15",2021-11-10 17:15:36,"15",44.0115852355957,35.6168582504481,0.140772461891174,7238,0.383165597915649,2.63543931937448,39639,-18.8695717134519,-16.3011619091094,1.93134637161492,-9.69981660264903,-8.44030990436943,0.517773515251869,2021-11-10 18:22:30,"me",3.50964690938662e-05,0.249075825,2.19487349131005e-05,0.2321633125,985,46.6612357187845,10.5901939687208,12.4180821079834
"84","B1","S1A_IW_GRDH_1SDV_20220504T170712_20220504T170737_043064_05247C_AB77_117",2022-05-04 17:07:12,"117",35.4248199462891,27.0254045782317,0.304283291101456,5858,0.486650794744492,2.711812277613,44314,-16.7634422248835,-14.810857030794,2.1051374970319,-12.7903667859495,-7.03557703555055,0.475028353924593,2022-05-04 19:07:30,"me",0.000529165126131986,0.133349175,0.00035570551523898,0.141433325,985,46.6612357187845,10.5901939687208,12.4180821079834
"87","B1","S1B_IW_GRDH_1SDV_20200828T052614_20200828T052639_023119_02BE55_F304_168",2020-08-28 05:26:14,"168",38.8501052856445,50.8217708798023,0.30113297700882,7372,0.505389928817749,2.35091009917215,43373,-18.3702422997579,-19.1743467899861,1.42558031432488,-13.6282955579032,-13.4502045218453,0.701468721159758,2020-08-28 07:22:30,"me",8.63577897884292e-05,0.131745825,3.10149733423729e-06,0.147998325,985,46.6612357187845,10.5901939687208,12.4180821079834
"88","B1","S1A_IW_GRDH_1SDV_20230228T170717_20230228T170742_047439_05B200_5B02_117",2023-02-28 17:07:17,"117",35.4372062683105,27.0384817057261,0.0787626579403877,4052,0.299381792545319,2.62352215748246,39084,-20.4618915651707,-16.782974206002,1.90596759093783,-10.5064019925858,-8.80548771437605,0.524667892966612,2023-02-28 18:07:30,"me",0.000144598130298128,0.137300825,5.91074989200017e-06,0.1871016625,985,46.6612357187845,10.5901939687208,12.4180821079834
"89","B1","S1A_IW_GRDH_1SDV_20220813T171540_20220813T171605_044537_0550B5_FABE_15",2022-08-13 17:15:40,"15",44.0067291259766,35.6111560317598,0.254661083221436,7278,0.411362379789352,2.50295378387114,41291,-16.7890465997521,-15.27302283359,1.67192819894592,-11.5694114402505,-9.13497531964527,0.598111809245431,2022-08-13 19:22:30,"me",0.000292066204578938,0.196113325,0.000327816708096373,0.2046916625,985,46.6612357187845,10.5901939687208,12.4180821079834
"92","B1","S1A_IW_GRDH_1SDV_20211117T170715_20211117T170740_040614_04D16E_E94D_117",2021-11-17 17:07:15,"117",35.4282569885254,27.0300456128141,0.140772461891174,7238,0.383165597915649,2.85652886562737,39639,-19.1810939455023,-14.2275476923617,2.49812066064493,-9.03806868967953,-5.69530043784539,0.400300920509514,2021-11-17 18:07:30,"me",0.00018384776310851,0.291565,0.000319276912670304,0.2686833125,985,46.6612357187845,10.5901939687208,12.4180821079834
"93","B1","S1A_IW_GRDH_1SDV_20230304T052727_20230304T052752_047490_05B3B1_201F_168",2023-03-04 05:27:27,"168",38.7074203491211,50.4395830256907,0.0787626579403877,4052,0.299381792545319,2.31210532858512,39084,-22.5512530926846,-21.2879201584181,1.36981611930026,-14.302915863034,-15.5407137195119,0.7300249908804,2023-03-04 06:22:30,"me",1.80875598527965e-05,0.1303483375,7.77770393956376e-06,0.1790050125,985,46.6612357187845,10.5901939687208,12.4180821079834
"98","B1","S1A_IW_GRDH_1SDV_20230305T171538_20230305T171603_047512_05B476_51C2_15",2023-03-05 17:15:38,"15",43.992317199707,35.6048985061124,0.0787626579403877,4052,0.299381792545319,2.49398860972477,39084,-22.7351636903254,-17.5294792678002,1.6560224084819,-12.4379454265993,-10.5852911035605,0.603856563098512,2023-03-05 18:22:30,"me",0.000281346466313589,0.1235808375,1.17844631370595e-05,0.171277475,985,46.6612357187845,10.5901939687208,12.4180821079834
"103","B1","S1A_IW_GRDH_1SDV_20230312T170717_20230312T170742_047614_05B7EA_25DE_117",2023-03-12 17:07:17,"117",35.4346466064453,27.0350588219672,0.0787626579403877,4106,0.299381792545319,2.57453496907106,39084,-20.173610045043,-16.7214343601445,1.80610180762786,-11.0012019060954,-9.25830110435831,0.553678644125497,2023-03-12 18:07:30,"me",8.76901159114965e-05,0.107521675,1.46721249313138e-05,0.1528233375,985,46.6612357187845,10.5901939687208,12.4180821079834
"106","B1","S1A_IW_GRDH_1SDV_20220508T052723_20220508T052748_043115_052620_7761_168",2022-05-08 05:27:23,"168",38.7213706970215,50.4535146063036,0.304283291101456,5858,0.486650794744492,2.38575724253674,44314,-21.2980142092422,-19.1516157124377,1.47794204527571,-15.9914361661633,-12.9582995312005,0.676616517675057,2022-05-08 07:22:30,"me",0.000884381045764289,0.1558291625,0.000397103761179434,0.1455525,985,46.6612357187845,10.5901939687208,12.4180821079834
"107","B1","S1B_IW_GRDH_1SDV_20201104T170626_20201104T170651_024118_02DD85_5BAA_117",2020-11-04 17:06:26,"117",35.5683403015137,27.1030790905956,0.133364304900169,6250,0.384397059679031,2.77464981083016,39784,-16.940525261504,-14.1557881430529,2.26437294036732,-10.6697241102352,-6.25152680934114,0.441623366086411,2020-11-04 18:07:30,"me",0.000165003367389876,0.2510416625,0.000228327807892829,0.213283325,985,46.6612357187845,10.5901939687208,12.4180821079834
"108","B1","S1A_IW_GRDH_1SDV_20230316T052726_20230316T052751_047665_05B99A_2F26_168",2023-03-16 05:27:26,"168",38.7279777526855,50.4613433627939,0.0787626579403877,4106,0.299381792545319,2.37303340400049,39084,-22.2477662935773,-21.9809038915989,1.45856307673154,-14.3289565525853,-15.0702456700435,0.685606276446321,2023-03-16 06:22:30,"me",0.000468644482981043,0.2038325,0.000368797263072817,0.1635458125,985,46.6612357187845,10.5901939687208,12.4180821079834
"113","B1","S1A_IW_GRDH_1SDV_20230317T171537_20230317T171602_047687_05BA62_E373_15",2023-03-17 17:15:37,"15",43.9869155883789,35.5988692832422,0.0787626579403877,4106,0.299381792545319,2.62757729822404,39084,-20.8403355222506,-16.5818059469512,1.91455394524141,-9.9530160214141,-8.66092386070657,0.522314872602824,2023-03-17 18:22:30,"me",0.000244652720343402,0.176078325,0.000272370257121236,0.1642566375,985,46.6612357187845,10.5901939687208,12.4180821079834
"114","B1","S1A_IW_GRDH_1SDV_20220509T171534_20220509T171559_043137_0526DF_2A6B_15",2022-05-09 17:15:34,"15",44.0099563598633,35.6105093423751,0.304283291101456,7098,0.486650794744492,2.48429841160578,44314,-18.5029532992646,-15.6971845634742,1.63904190021844,-13.5622104258171,-9.5770489829346,0.610112529683791,2022-05-09 19:22:30,"me",0.000337506685383526,0.1532166625,1.3752376418019e-05,0.137049175,985,46.6612357187845,10.5901939687208,12.4180821079834
"117","B1","S1A_IW_GRDH_1SDV_20201103T171530_20201103T171555_035087_041825_351D_15",2020-11-03 17:15:30,"15",44.0140342712402,35.6150073199338,0.133364304900169,6250,0.384397059679031,2.64833071597077,39784,-17.91851427971,-15.0691172704955,1.95930376406594,-12.1392924966116,-7.69105717391374,0.510385381960786,2020-11-03 18:22:30,"me",0.000334618902367211,0.2520099875,4.93701399054445e-06,0.2152108375,985,46.6612357187845,10.5901939687208,12.4180821079834
"118","B1","S1A_IW_GRDH_1SDV_20230324T170717_20230324T170742_047789_05BDCF_DDC0_117",2023-03-24 17:07:17,"117",35.43359375,27.0337829606074,0.0787626579403877,5438,0.299381792545319,2.58773219941754,39084,-19.9278414796728,-16.2047275269333,1.83232400990115,-13.8451473150583,-8.8438111596909,0.54575500544467,2023-03-24 18:07:30,"me",1.93163097259418e-05,0.1124858375,4.09366562072191e-05,0.1330200125,985,46.6612357187845,10.5901939687208,12.4180821079834
"120","B1","S1A_IW_GRDH_1SDV_20220930T171542_20220930T171607_045237_056843_637A_15",2022-09-30 17:15:42,"15",44.0133094787598,35.6205242618859,0.260925382375717,7227,0.450110733509064,2.54797685193854,40970,-17.7568715680558,-15.3023173230814,1.75477701945747,-13.5880711266376,-8.72037709259059,0.569872974692346,2022-09-30 19:22:30,"me",0.000484547113292399,0.260973325,4.99973070703382e-05,0.230769175,985,46.6612357187845,10.5901939687208,12.4180821079834
"121","B1","S1A_IW_GRDH_1SDV_20200729T052717_20200729T052741_033665_03E6D8_F012_168",2020-07-29 05:27:17,"168",38.7137641906738,50.4451996591763,0.188895344734192,7372,0.431267261505127,2.39797779423098,44937,-20.8386307649183,-19.5194262919883,1.49684429191783,-15.9186386105496,-13.0403852941705,0.668072160477527,2020-07-29 07:22:30,"me",0.000268497172105354,0.158,1.55430967681145e-05,0.159189975,985,46.6612357187845,10.5901939687208,12.4180821079834
"123","B1","S1B_IW_GRDH_1SDV_20210707T171437_20210707T171502_027691_034E02_7292_15",2021-07-07 17:14:37,"15",44.7051849365234,35.8051646528373,0.343964666128159,7085,0.480430841445923,2.6369619239783,43424,-14.6276148703955,-14.0074122176193,1.93462088137317,-9.33378606073467,-7.24039130998989,0.5168971397074,2021-07-07 19:07:30,"me",0.00151654150218751,0.250881675,0.000275868010624129,0.222322475,985,46.6612357187845,10.5901939687208,12.4180821079834
